Date&Time,RCActions,JoyActions,VehiclePosition,ShovelPosition,ArmHeight,ArmShortHeight,BladeImu,VehicleImu,GridMap,Grade
"20-04,09:40:15","(1408, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 0.5441819429397583, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,113,"{'orientation': x: 0.04424755082689945
y: -0.4607257645241373
z: -0.8560580860406863
w: 0.23008363147739766, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1356, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 0.27892792224884033, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,121,"{'orientation': x: -0.5373294274216969
y: -0.5915772963817113
z: -0.39025098824444815
w: 0.45718437747434876, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1300, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,121,"{'orientation': x: -0.5373294274216969
y: -0.5915772963817113
z: -0.39025098824444815
w: 0.45718437747434876, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1252, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.23745489120483398, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,121,"{'orientation': x: -0.5373294274216969
y: -0.5915772963817113
z: -0.39025098824444815
w: 0.45718437747434876, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1198, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.5109971165657043, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,121,"{'orientation': x: -0.5373294274216969
y: -0.5915772963817113
z: -0.39025098824444815
w: 0.45718437747434876, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1140, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.8010835647583008, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,121,"{'orientation': x: -0.5373294274216969
y: -0.5915772963817113
z: -0.39025098824444815
w: 0.45718437747434876, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1108, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.9585590958595276, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,114,"{'orientation': x: 0.5673363864299072
y: 0.5085230166435237
z: 0.36949060651431387
w: -0.5319872722858227, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1100, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,114,"{'orientation': x: 0.5673363864299072
y: 0.5085230166435237
z: 0.36949060651431387
w: -0.5319872722858227, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1180, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.6021671295166016, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,122,"{'orientation': x: -0.09023862128208837
y: -0.343979428339252
z: -0.34383907733098695
w: 0.8690856304235417, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1288, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, -0.05511482059955597, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,122,"{'orientation': x: -0.09023862128208837
y: -0.343979428339252
z: -0.34383907733098695
w: 0.8690856304235417, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1380, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 0.40325069427490234, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,122,"{'orientation': x: -0.09023862128208837
y: -0.343979428339252
z: -0.34383907733098695
w: 0.8690856304235417, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:15","(1500, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,122,"{'orientation': x: -0.09023862128208837
y: -0.343979428339252
z: -0.34383907733098695
w: 0.8690856304235417, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007846777155994685
y: 0.018966873065717905
z: -0.7789200113868815
w: -0.6267872858278426, 'angular_velocity': x: -0.00020599085837602615
y: 0.00021367543376982215
z: 0.0001731193624436855, 'linear_acceleration': x: 0.3138128
y: -0.20593964999999878
z: 9.83606995}",,N/A
"20-04,09:40:19","(1500, 1500, 1174, 1500, 2000, 1500, 1500, 1500)","(-0.13385257124900818, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,144,120,"{'orientation': x: -0.08484113127929063
y: 0.5149163507855553
z: 0.19028877655231716
w: -0.8315367193667154, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007423043936886983
y: 0.02068920784872715
z: -0.8260287141986562
w: -0.5631992706108716, 'angular_velocity': x: 0.0008057914674282074
y: -0.0004252666840329766
z: 0.0002928748726844788, 'linear_acceleration': x: 0.30400615
y: -0.2745861999999988
z: 9.85568325}",,N/A
"20-04,09:40:19","(1500, 1500, 1114, 1500, 2000, 1500, 1500, 1500)","(-0.432227224111557, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,144,120,"{'orientation': x: -0.08484113127929063
y: 0.5149163507855553
z: 0.19028877655231716
w: -0.8315367193667154, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007423043936886983
y: 0.02068920784872715
z: -0.8260287141986562
w: -0.5631992706108716, 'angular_velocity': x: 0.0008057914674282074
y: -0.0004252666840329766
z: 0.0002928748726844788, 'linear_acceleration': x: 0.30400615
y: -0.2745861999999988
z: 9.85568325}",,N/A
"20-04,09:40:19","(1500, 1500, 1074, 1500, 2000, 1500, 1500, 1500)","(-0.6311757564544678, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,144,120,"{'orientation': x: -0.08484113127929063
y: 0.5149163507855553
z: 0.19028877655231716
w: -0.8315367193667154, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007423043936886983
y: 0.02068920784872715
z: -0.8260287141986562
w: -0.5631992706108716, 'angular_velocity': x: 0.0008057914674282074
y: -0.0004252666840329766
z: 0.0002928748726844788, 'linear_acceleration': x: 0.30400615
y: -0.2745861999999988
z: 9.85568325}",,N/A
"20-04,09:40:19","(1500, 1500, 1016, 1500, 2000, 1500, 1500, 1500)","(-0.921262264251709, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,144,120,"{'orientation': x: -0.08484113127929063
y: 0.5149163507855553
z: 0.19028877655231716
w: -0.8315367193667154, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007423043936886983
y: 0.02068920784872715
z: -0.8260287141986562
w: -0.5631992706108716, 'angular_velocity': x: 0.0008057914674282074
y: -0.0004252666840329766
z: 0.0002928748726844788, 'linear_acceleration': x: 0.30400615
y: -0.2745861999999988
z: 9.85568325}",,N/A
"20-04,09:40:19","(1500, 1500, 1000, 1500, 2000, 1500, 1500, 1500)","(-1.0, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,112,"{'orientation': x: -0.08484113127929063
y: 0.5149163507855553
z: 0.19028877655231716
w: -0.8315367193667154, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.007423043936886983
y: 0.02068920784872715
z: -0.8260287141986562
w: -0.5631992706108716, 'angular_velocity': x: 0.0008057914674282074
y: -0.0004252666840329766
z: 0.0002928748726844788, 'linear_acceleration': x: 0.30400615
y: -0.2745861999999988
z: 9.85568325}",,N/A
"20-04,09:40:21","(1500, 1500, 1044, 1500, 2000, 1500, 1500, 1500)","(-0.7803630828857422, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,146,113,"{'orientation': x: -0.6180055661539386
y: -0.33037247366281813
z: -0.6279477433133492
w: 0.3385332782996853, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.00822037852340813
y: 0.01926794425664839
z: -0.858520151741985
w: -0.5123517549047466, 'angular_velocity': x: 0.001986908493563533
y: -0.0017218102002516304
z: 0.06864095479249954, 'linear_acceleration': x: 0.30400615
y: -0.2941994999999988
z: 9.85568325}",,N/A
"20-04,09:40:21","(1500, 1500, 1088, 1500, 2000, 1500, 1500, 1500)","(-0.564870297908783, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,116,"{'orientation': x: -0.24886550173811706
y: -0.6550899275641284
z: -0.25099939223049333
w: 0.6677742537329386, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.00822037852340813
y: 0.01926794425664839
z: -0.858520151741985
w: -0.5123517549047466, 'angular_velocity': x: 0.001986908493563533
y: -0.0017218102002516304
z: 0.06864095479249954, 'linear_acceleration': x: 0.30400615
y: -0.2941994999999988
z: 9.85568325}",,N/A
"20-04,09:40:21","(1500, 1500, 1142, 1500, 2000, 1500, 1500, 1500)","(-0.2913280725479126, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,116,"{'orientation': x: -0.24886550173811706
y: -0.6550899275641284
z: -0.25099939223049333
w: 0.6677742537329386, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.00822037852340813
y: 0.01926794425664839
z: -0.858520151741985
w: -0.5123517549047466, 'angular_velocity': x: 0.001986908493563533
y: -0.0017218102002516304
z: 0.06864095479249954, 'linear_acceleration': x: 0.30400615
y: -0.2941994999999988
z: 9.85568325}",,N/A
"20-04,09:40:21","(1500, 1500, 1184, 1500, 2000, 1500, 1500, 1500)","(-0.07583528012037277, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,116,"{'orientation': x: -0.24886550173811706
y: -0.6550899275641284
z: -0.25099939223049333
w: 0.6677742537329386, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.00822037852340813
y: 0.01926794425664839
z: -0.858520151741985
w: -0.5123517549047466, 'angular_velocity': x: 0.001986908493563533
y: -0.0017218102002516304
z: 0.06864095479249954, 'linear_acceleration': x: 0.30400615
y: -0.2941994999999988
z: 9.85568325}",,N/A
"20-04,09:40:21","(1500, 1500, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0)",,,145,116,"{'orientation': x: -0.24886550173811706
y: -0.6550899275641284
z: -0.25099939223049333
w: 0.6677742537329386, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.00822037852340813
y: 0.01926794425664839
z: -0.858520151741985
w: -0.5123517549047466, 'angular_velocity': x: 0.001986908493563533
y: -0.0017218102002516304
z: 0.06864095479249954, 'linear_acceleration': x: 0.30400615
y: -0.2941994999999988
z: 9.85568325}",,N/A
"20-04,09:40:22","(1500, 1920, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, -0.10066771507263184, 1.0, 0.0, 0.0)",,,145,112,"{'orientation': x: -0.5985243492342481
y: -0.36431454229211574
z: -0.6101643395467365
w: 0.3697877720986739, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.008627999815229982
y: 0.018983077425241704
z: -0.8694787457396109
w: -0.49353005085580015, 'angular_velocity': x: 0.003182216314598918
y: -0.0020190556533634567
z: 0.07762163132429123, 'linear_acceleration': x: 0.28439285000000003
y: -0.2549728999999988
z: 9.8262633}",,N/A
"20-04,09:40:22","(1500, 1968, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, -0.34102505445480347, 1.0, 0.0, 0.0)",,,145,112,"{'orientation': x: -0.5985243492342481
y: -0.36431454229211574
z: -0.6101643395467365
w: 0.3697877720986739, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.008627999815229982
y: 0.018983077425241704
z: -0.8694787457396109
w: -0.49353005085580015, 'angular_velocity': x: 0.003182216314598918
y: -0.0020190556533634567
z: 0.07762163132429123, 'linear_acceleration': x: 0.28439285000000003
y: -0.2549728999999988
z: 9.8262633}",,N/A
"20-04,09:40:22","(1500, 2022, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, -0.6145672798156738, 1.0, 0.0, 0.0)",,,145,112,"{'orientation': x: -0.5985243492342481
y: -0.36431454229211574
z: -0.6101643395467365
w: 0.3697877720986739, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.008627999815229982
y: 0.018983077425241704
z: -0.8694787457396109
w: -0.49353005085580015, 'angular_velocity': x: 0.003182216314598918
y: -0.0020190556533634567
z: 0.07762163132429123, 'linear_acceleration': x: 0.28439285000000003
y: -0.2549728999999988
z: 9.8262633}",,N/A
"20-04,09:40:22","(1500, 2072, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, -0.8632128238677979, 1.0, 0.0, 0.0)",,,145,113,"{'orientation': x: 0.5014603809275717
y: 0.3177383403705414
z: 0.6935809164507492
w: -0.4080751716949806, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.008627999815229982
y: 0.018983077425241704
z: -0.8694787457396109
w: -0.49353005085580015, 'angular_velocity': x: 0.003182216314598918
y: -0.0020190556533634567
z: 0.07762163132429123, 'linear_acceleration': x: 0.28439285000000003
y: -0.2549728999999988
z: 9.8262633}",,N/A
"20-04,09:40:22","(1500, 2100, 1500, 1500, 2000, 1500, 1500, 1500)","(-0.0, -0.0, 1.0, 0.0, -1.0, 1.0, 0.0, 0.0)",,,145,113,"{'orientation': x: 0.5014603809275717
y: 0.3177383403705414
z: 0.6935809164507492
w: -0.4080751716949806, 'angular_velocity': x: 0.0
y: 0.0
z: 0.0, 'linear_acceleration': x: 0.0
y: 0.0
z: 0.0}","{'orientation': x: -0.008627999815229982
y: 0.018983077425241704
z: -0.8694787457396109
w: -0.49353005085580015, 'angular_velocity': x: 0.003182216314598918
y: -0.0020190556533634567
z: 0.07762163132429123, 'linear_acceleration': x: 0.28439285000000003
y: -0.2549728999999988
z: 9.8262633}",,N/A
